iter	MAE
0	3.760445109
1	3.613731714
2	3.471356952
3	3.344652681
4	3.224512168
5	3.110030492
6	2.994950955
7	2.892505955
8	2.791734119
9	2.6859984
10	2.607105844
11	2.519354015
12	2.425376902
13	2.342387491
14	2.267898249
15	2.199191101
16	2.139414079
17	2.077064036
18	2.014293479
19	1.954911942
20	1.903738441
21	1.854246195
22	1.812274301
23	1.779864542
24	1.736612261
25	1.696471469
26	1.664762745
27	1.632706077
28	1.601440648
29	1.572436132
30	1.541372822
31	1.50370889
32	1.474707062
33	1.441725487
34	1.414838626
35	1.387652007
36	1.36630165
37	1.343454565
38	1.31573607
39	1.296367101
40	1.278228018
41	1.260455403
42	1.238304541
43	1.221589052
44	1.20566594
45	1.198014733
46	1.183074113
47	1.164969901
48	1.146306254
49	1.130028434
50	1.113123441
51	1.098694458
52	1.084329524
53	1.07298284
54	1.060407846
55	1.048368524
56	1.032237154
57	1.020926894
58	1.010344736
59	0.9966164802
60	0.98733011
61	0.9782326513
62	0.972740176
63	0.9628071032
64	0.953704589
65	0.9437667237
66	0.9366657753
67	0.9287058015
68	0.917052367
69	0.9073911274
70	0.8970025263
71	0.888509457
72	0.8805263356
73	0.8715873141
74	0.8647218728
75	0.8600132125
76	0.8546980545
77	0.8487980026
78	0.8376539528
79	0.8308406643
80	0.8256041083
81	0.8205061469
82	0.8149498359
83	0.8070007086
84	0.8011593122
85	0.7944640488
86	0.7866976031
87	0.7766360808
88	0.7697142958
89	0.7661609552
90	0.7600639844
91	0.7536452166
92	0.7500386662
93	0.7455487601
94	0.7415288536
95	0.7370813388
96	0.7321530556
97	0.7268615837
98	0.722012896
99	0.7178920049
100	0.7134451759
101	0.7089797529
102	0.7050837045
103	0.702180093
104	0.696583636
105	0.6924034901
106	0.6867506772
107	0.6827212437
108	0.6800552437
109	0.6777331212
110	0.6750788501
111	0.6675935009
112	0.6627502256
113	0.6601279948
114	0.6541951788
115	0.6511983237
116	0.6473357398
117	0.6411938686
118	0.6378900878
119	0.6344403703
120	0.6300431429
121	0.6273814917
122	0.625046216
123	0.6196343349
124	0.6181668223
125	0.6148968105
126	0.6106714774
127	0.6077886935
128	0.6045169095
129	0.6021183036
130	0.5985477245
131	0.5932917773
132	0.5876922784
133	0.5845387896
134	0.5820415179
135	0.5798608098
136	0.5762551925
137	0.5721251199
138	0.5673284751
139	0.5650495648
140	0.5633687955
141	0.5597836211
142	0.557375958
143	0.5539270568
144	0.5521855043
145	0.5495256436
146	0.546629077
147	0.5446957703
148	0.5423843447
149	0.5409886819
150	0.5376489862
151	0.5339278324
152	0.5326811863
153	0.5292263932
154	0.5252447439
155	0.5234370799
156	0.5207615932
157	0.5175636924
158	0.5155969478
159	0.5106683735
160	0.5089397069
161	0.5049932025
162	0.5017833796
163	0.4994829427
164	0.4972503298
165	0.4909855161
166	0.4885607889
167	0.486912515
168	0.4837980227
169	0.4798727178
170	0.4752739034
171	0.4712782935
172	0.4687633836
173	0.4667526977
174	0.4632177986
175	0.4603007918
176	0.4578979998
177	0.4557685314
178	0.4547786399
179	0.4516631254
180	0.450642687
181	0.4487326774
182	0.4475541617
183	0.4447923902
184	0.4443213919
185	0.4422508794
186	0.4388181464
187	0.435246821
188	0.434575577
189	0.4316889617
190	0.429168648
191	0.4278190617
192	0.4260518588
193	0.4242133322
194	0.4210042387
195	0.4178391263
196	0.4166979064
197	0.4147067655
198	0.4125236407
199	0.4102371092
200	0.4073694832
201	0.4054923569
202	0.4045237165
203	0.4033730051
204	0.400866097
205	0.3994398286
206	0.3985861677
207	0.396311258
208	0.3931591895
209	0.392611729
210	0.3897444569
211	0.3893750138
212	0.3881387848
213	0.386371968
214	0.3857297635
215	0.3839008952
216	0.382607516
217	0.3819456036
218	0.3801636944
219	0.3783548507
220	0.3765123418
221	0.3754663171
222	0.3747767382
223	0.3740639277
224	0.3731033202
225	0.3716872154
226	0.370938751
227	0.3699388555
228	0.3688710792
229	0.3679429713
230	0.3663025661
231	0.3641000565
232	0.3625802091
233	0.3605694382
234	0.3588709288
235	0.357160444
236	0.3566342118
237	0.3562928706
238	0.355403931
239	0.3536412513
240	0.3532667889
241	0.351810099
242	0.3508185839
243	0.3484662135
244	0.3477208331
245	0.34729929
246	0.3451121732
247	0.344532715
248	0.3431356599
249	0.3415123377
250	0.3398498893
251	0.3386408795
252	0.3374642516
253	0.3356498866
254	0.3351661207
255	0.3341251416
256	0.332001592
257	0.3310244683
258	0.3292748585
259	0.328953482
260	0.3280969235
261	0.3259477339
262	0.3254788166
263	0.324875267
264	0.3233149908
265	0.322957797
266	0.3219783711
267	0.321618978
268	0.3210173248
269	0.3202734813
270	0.3185216109
271	0.3147791934
272	0.3142246574
273	0.3128752301
274	0.3117754023
275	0.311058742
276	0.3105731217
277	0.3102187995
278	0.309805784
279	0.3075127874
280	0.3066430292
281	0.3059270621
282	0.3045333349
283	0.3039521471
284	0.3036994821
285	0.3031421193
286	0.3026176935
287	0.3014858414
288	0.3003623033
289	0.2995910649
290	0.2992752849
291	0.2985162345
292	0.2981879149
293	0.2974917856
294	0.2970971288
295	0.2961310196
296	0.2953916373
297	0.2944441828
298	0.2942435421
299	0.2936710677
300	0.2933486185
301	0.2926558211
302	0.2918280038
303	0.290941196
304	0.2897247243
305	0.2886785756
306	0.2877153518
307	0.28702162
308	0.2864538875
309	0.2859225026
310	0.284834433
311	0.2844878593
312	0.2838365017
313	0.283237113
314	0.2823276563
315	0.2811858682
316	0.2804913556
317	0.2799402913
318	0.2791961342
319	0.2781735033
320	0.2778504305
321	0.2772261245
322	0.2767615713
323	0.2765277942
324	0.2761658528
325	0.2759875373
326	0.2757044735
327	0.2752700087
328	0.2748506827
329	0.274209059
330	0.2737328113
331	0.272839605
332	0.2726105891
333	0.2720787905
334	0.2710714019
335	0.2707459786
336	0.2701382451
337	0.2696007119
338	0.2692510642
339	0.2685726143
340	0.2683268792
341	0.2679670567
342	0.2668205584
343	0.2660277668
344	0.2654232248
345	0.2647690065
346	0.2644669365
347	0.2638639807
348	0.2633760731
349	0.2627387166
350	0.2622235917
351	0.2611625654
352	0.2608682821
353	0.2602747066
354	0.2594993081
355	0.2586920029
356	0.2580286507
357	0.2576467851
358	0.2572910335
359	0.2569594817
360	0.2563185058
361	0.2558015227
362	0.2556343128
363	0.2550083071
364	0.2546722588
365	0.2541346517
366	0.2537236721
367	0.2529787166
368	0.2527345592
369	0.2521868487
370	0.2518778815
371	0.2510329142
372	0.2505491936
373	0.2503539466
374	0.2501749051
375	0.2500487172
376	0.2487783378
377	0.2484574814
378	0.2483944046
379	0.24832568
380	0.2478460983
381	0.2472443821
382	0.2458848138
383	0.244630089
384	0.2444077586
385	0.2435351731
386	0.2431568609
387	0.2425343861
388	0.2421635533
389	0.2412299927
390	0.2406477903
391	0.2404133207
392	0.239896458
393	0.2396623448
394	0.2394036397
395	0.2379560193
396	0.2370475843
397	0.2366081266
398	0.2358325315
399	0.2355632422
400	0.2350055689
401	0.2345149795
402	0.2338051953
403	0.2335918394
404	0.2332229859
